name,education_level,stream,cgpa,skills,interest,career_domain
S1568,PhD,Mathematics,6.8,numpy matplotlib visualization seaborn statistics,Data,Data Scientist
S1569,Undergraduate,Statistics,6.7,numpy pandas analytics matplotlib sql,Data,Data Scientist
S1570,Postgraduate,Mathematics,6.9,seaborn analytics python numpy statistics,Data,Data Scientist
S1571,PhD,Information Technology,7.7,python numpy analytics seaborn matplotlib dataanalysis sql,Research,Data Scientist
S1572,Postgraduate,Statistics,8.0,machinelearning visualization scikit pandas dataanalysis python statistics,Research,Data Scientist
S1573,PhD,Psychology,7.1,dataanalysis python matplotlib visualization sql statistics machinelearning analytics,AI,Data Scientist
S1574,Undergraduate,Statistics,7.9,numpy visualization pandas machinelearning statistics,Research,Data Scientist
S1575,Undergraduate,Mathematics,8.8,statistics scikit matplotlib,AI,Data Scientist
S1576,Undergraduate,Psychology,9.3,matplotlib statistics sql scikit pandas python,Research,Data Scientist
S1577,Postgraduate,Statistics,6.9,numpy seaborn sql pandas dataanalysis scikit,Cloud,Data Scientist
S1578,Undergraduate,Statistics,6.7,analytics seaborn python,Cloud,Data Scientist
S1579,Postgraduate,Data Science,7.2,python analytics statistics,Data,Data Scientist
S1580,PhD,Statistics,8.8,pandas analytics seaborn statistics python sql,AI,Data Scientist
S1581,Postgraduate,Psychology,7.8,seaborn machinelearning pandas numpy statistics,Writing,Data Scientist
S1582,PhD,Statistics,8.7,visualization machinelearning sql numpy,AI,Data Scientist
S1583,Postgraduate,Computer Science,7.2,analytics numpy machinelearning visualization pandas seaborn,Cloud,Data Scientist
S1584,PhD,Mathematics,7.7,scikit seaborn matplotlib dataanalysis machinelearning pandas,Research,Data Scientist
S1585,Postgraduate,Finance,7.5,python sql scikit visualization numpy matplotlib analytics,Data,Data Scientist
S1586,PhD,Information Technology,6.9,analytics python scikit visualization dataanalysis machinelearning numpy pandas,Data,Data Scientist
S1587,PhD,Computer Science,9.4,numpy seaborn visualization machinelearning statistics dataanalysis analytics,Data,Data Scientist
S1588,Undergraduate,Law,7.6,visualization numpy statistics analytics pandas,Development,Data Scientist
S1589,Undergraduate,Statistics,8.0,statistics seaborn visualization sql numpy,Research,Data Scientist
S1590,PhD,Computer Science,8.3,machinelearning statistics pandas,AI,Data Scientist
S1591,Postgraduate,Statistics,8.6,statistics visualization seaborn analytics machinelearning scikit,Research,Data Scientist
S1592,Postgraduate,Data Science,7.7,numpy statistics pandas matplotlib,AI,Data Scientist
S1593,Undergraduate,Computer Science,7.0,pandas statistics scikit machinelearning,Data,Data Scientist
S1594,Undergraduate,Data Science,9.2,visualization seaborn numpy pandas python machinelearning,Data,Data Scientist
S1595,PhD,Finance,7.8,dataanalysis numpy statistics python,AI,Data Scientist
S1596,PhD,Data Science,8.3,dataanalysis python pandas sql numpy,Finance,Data Scientist
S1597,Undergraduate,Statistics,7.3,machinelearning scikit matplotlib sql seaborn visualization,AI,Data Scientist
S1598,Postgraduate,Finance,8.9,matplotlib seaborn sql machinelearning dataanalysis scikit,Development,Data Scientist
S1599,PhD,Computer Science,7.2,dataanalysis machinelearning numpy statistics analytics scikit sql visualization,Data,Data Scientist
S1600,Postgraduate,Statistics,8.7,machinelearning analytics python matplotlib visualization numpy scikit,Research,Data Scientist
S1601,Postgraduate,Arts,8.3,modeltraining ai neuralnetworks,AI,Machine Learning Engineer
S1602,Undergraduate,Mathematics,8.9,neuralnetworks pytorch deeplearning tensorflow python modeltraining,AI,Machine Learning Engineer
S1603,Postgraduate,Computer Science,6.7,ai tensorflow python deeplearning machinelearning neuralnetworks modeltraining pytorch,Development,Machine Learning Engineer
S1604,Undergraduate,Law,8.3,ai pytorch modeltraining python neuralnetworks tensorflow,AI,Machine Learning Engineer
S1605,Undergraduate,Mathematics,6.6,tensorflow pytorch neuralnetworks machinelearning,AI,Machine Learning Engineer
S1606,Undergraduate,Computer Science,7.9,deeplearning modeltraining python ai tensorflow neuralnetworks pytorch,Development,Machine Learning Engineer
S1607,Undergraduate,Computer Science,8.4,tensorflow python machinelearning deeplearning,Finance,Machine Learning Engineer
S1608,Postgraduate,Finance,8.1,pytorch python deeplearning ai neuralnetworks machinelearning,AI,Machine Learning Engineer
S1609,Postgraduate,Computer Science,7.8,python modeltraining machinelearning tensorflow,Cloud,Machine Learning Engineer
S1610,Postgraduate,Data Science,8.4,python pytorch neuralnetworks modeltraining deeplearning ai machinelearning tensorflow,Writing,Machine Learning Engineer
S1611,Undergraduate,Computer Science,8.2,modeltraining ai pytorch python,AI,Machine Learning Engineer
S1612,Postgraduate,Mathematics,6.8,ai modeltraining neuralnetworks,Finance,Machine Learning Engineer
S1613,Postgraduate,Computer Science,8.8,deeplearning machinelearning pytorch ai,Writing,Machine Learning Engineer
S1614,Postgraduate,Mathematics,8.1,deeplearning pytorch ai machinelearning python tensorflow neuralnetworks,Finance,Machine Learning Engineer
S1615,Postgraduate,Data Science,8.1,ai neuralnetworks machinelearning modeltraining,Development,Machine Learning Engineer
S1616,Undergraduate,Data Science,7.0,neuralnetworks modeltraining tensorflow python,Development,Machine Learning Engineer
S1617,Undergraduate,Data Science,8.7,neuralnetworks modeltraining ai pytorch tensorflow deeplearning python,Development,Machine Learning Engineer
S1618,Undergraduate,Computer Science,7.5,machinelearning tensorflow python neuralnetworks,AI,Machine Learning Engineer
S1619,Postgraduate,Data Science,7.9,python neuralnetworks machinelearning ai deeplearning modeltraining pytorch tensorflow,Development,Machine Learning Engineer
S1620,Postgraduate,Data Science,9.0,modeltraining ai machinelearning tensorflow pytorch neuralnetworks python,Research,Machine Learning Engineer
S1621,Postgraduate,Computer Science,6.7,machinelearning neuralnetworks ai pytorch deeplearning tensorflow python modeltraining,Data,Machine Learning Engineer
S1622,Postgraduate,Law,9.4,tensorflow neuralnetworks modeltraining machinelearning python ai deeplearning,Development,Machine Learning Engineer
S1623,Undergraduate,Law,8.0,modeltraining python neuralnetworks ai pytorch,AI,Machine Learning Engineer
S1624,Postgraduate,Information Technology,7.0,deeplearning python neuralnetworks machinelearning pytorch,Development,Machine Learning Engineer
S1625,Postgraduate,Law,9.1,ai tensorflow deeplearning modeltraining python machinelearning pytorch,AI,Machine Learning Engineer
S1626,Postgraduate,Computer Science,8.3,pytorch deeplearning ai,Finance,Machine Learning Engineer
S1627,Postgraduate,Mathematics,8.2,pytorch neuralnetworks modeltraining ai python,AI,Machine Learning Engineer
S1628,Postgraduate,Data Science,8.3,machinelearning deeplearning modeltraining,Development,Machine Learning Engineer
S1629,Undergraduate,Statistics,6.5,pytorch tensorflow python deeplearning ai modeltraining,AI,Machine Learning Engineer
S1630,Undergraduate,Information Technology,9.2,pytorch tensorflow modeltraining neuralnetworks,Cloud,Machine Learning Engineer
S1631,Postgraduate,Finance,9.5,tensorflow pytorch neuralnetworks deeplearning modeltraining ai python machinelearning,Writing,Machine Learning Engineer
S1632,Postgraduate,Arts,9.1,deeplearning tensorflow pytorch modeltraining python neuralnetworks machinelearning ai,Design,Machine Learning Engineer
S1633,Postgraduate,Computer Science,8.0,tensorflow modeltraining neuralnetworks deeplearning,Design,Machine Learning Engineer
S1634,Postgraduate,Data Science,8.4,modeltraining ai pytorch python neuralnetworks machinelearning,AI,Machine Learning Engineer
S1635,Postgraduate,Information Technology,8.7,python deeplearning tensorflow modeltraining,Research,Machine Learning Engineer
S1636,Postgraduate,Information Technology,8.2,neuralnetworks modeltraining machinelearning tensorflow pytorch,AI,Machine Learning Engineer
S1637,Undergraduate,Finance,7.0,pytorch ai tensorflow neuralnetworks machinelearning deeplearning modeltraining,AI,Machine Learning Engineer
S1638,Undergraduate,Data Science,7.7,modeltraining deeplearning ai neuralnetworks tensorflow pytorch,Development,Machine Learning Engineer
S1639,Postgraduate,Finance,8.1,modeltraining machinelearning pytorch neuralnetworks deeplearning ai,Research,Machine Learning Engineer
S1640,Postgraduate,Mathematics,6.8,neuralnetworks deeplearning ai tensorflow python machinelearning modeltraining,AI,Machine Learning Engineer
S1641,Postgraduate,Mathematics,8.8,tensorflow ai modeltraining python,Development,Machine Learning Engineer
S1642,Postgraduate,Finance,7.4,deeplearning modeltraining machinelearning,AI,Machine Learning Engineer
S1643,Postgraduate,Statistics,7.2,tensorflow pytorch neuralnetworks machinelearning ai python deeplearning modeltraining,Finance,Machine Learning Engineer
S1644,Postgraduate,Mathematics,6.9,neuralnetworks ai pytorch modeltraining python tensorflow deeplearning,Finance,Machine Learning Engineer
S1645,Postgraduate,Computer Science,8.5,deeplearning modeltraining tensorflow neuralnetworks,AI,Machine Learning Engineer
S1646,Postgraduate,Data Science,9.3,ai modeltraining neuralnetworks python deeplearning tensorflow,AI,Machine Learning Engineer
S1647,Postgraduate,Law,6.6,neuralnetworks python machinelearning,AI,Machine Learning Engineer
S1648,Undergraduate,Data Science,6.9,neuralnetworks modeltraining ai,AI,Machine Learning Engineer
S1649,Postgraduate,Mathematics,7.5,python ai neuralnetworks pytorch tensorflow modeltraining,Development,Machine Learning Engineer
S1650,Undergraduate,Data Science,6.8,python ai machinelearning tensorflow,AI,Machine Learning Engineer
S1651,Postgraduate,Commerce,7.7,deeplearning python machinelearning ai modeltraining,Development,Machine Learning Engineer
S1652,Undergraduate,Computer Science,8.4,python neuralnetworks modeltraining deeplearning tensorflow,Development,Machine Learning Engineer
S1653,Postgraduate,Computer Science,9.1,deeplearning ai python modeltraining neuralnetworks,Development,Machine Learning Engineer
S1654,Undergraduate,Computer Science,8.3,modeltraining neuralnetworks python tensorflow,Development,Machine Learning Engineer
S1655,Postgraduate,Commerce,6.8,ai deeplearning neuralnetworks,Finance,Machine Learning Engineer
S1656,Undergraduate,Data Science,9.3,tensorflow ai pytorch deeplearning,Cloud,Machine Learning Engineer
S1657,Undergraduate,Mathematics,7.3,deeplearning tensorflow machinelearning neuralnetworks modeltraining ai python,Development,Machine Learning Engineer
S1658,Postgraduate,Mathematics,7.2,neuralnetworks tensorflow modeltraining pytorch python,Development,Machine Learning Engineer
S1659,Undergraduate,Computer Science,8.0,python modeltraining tensorflow pytorch,Development,Machine Learning Engineer
S1660,Postgraduate,Mathematics,8.9,pytorch ai modeltraining deeplearning python tensorflow,Development,Machine Learning Engineer
S1661,Undergraduate,Psychology,6.7,pytorch machinelearning modeltraining python ai tensorflow deeplearning neuralnetworks,Finance,Machine Learning Engineer
S1662,Undergraduate,Mathematics,8.5,modeltraining tensorflow python deeplearning,Data,Machine Learning Engineer
S1663,Undergraduate,Arts,7.5,neuralnetworks ai modeltraining machinelearning deeplearning tensorflow,AI,Machine Learning Engineer
S1664,Postgraduate,Arts,6.9,pytorch tensorflow machinelearning modeltraining ai python neuralnetworks,Security,Machine Learning Engineer
S1665,Undergraduate,Computer Science,7.9,neuralnetworks tensorflow deeplearning,Writing,Machine Learning Engineer
S1666,Undergraduate,Data Science,8.4,ai deeplearning python tensorflow,Finance,Machine Learning Engineer
S1667,Undergraduate,Data Science,7.9,machinelearning deeplearning python modeltraining,AI,Machine Learning Engineer
S1668,Undergraduate,Arts,8.2,ai neuralnetworks python,Development,Machine Learning Engineer
S1669,Postgraduate,Computer Science,8.1,deeplearning modeltraining machinelearning,Finance,Machine Learning Engineer
S1670,Postgraduate,Mathematics,8.8,deeplearning modeltraining pytorch python tensorflow neuralnetworks,Development,Machine Learning Engineer
S1671,Postgraduate,Data Science,7.0,modeltraining pytorch neuralnetworks deeplearning ai tensorflow machinelearning python,Development,Machine Learning Engineer
S1672,Postgraduate,Mechanical Engineering,8.5,pytorch tensorflow python,Development,Machine Learning Engineer
S1673,Postgraduate,Mathematics,6.7,tensorflow modeltraining deeplearning,AI,Machine Learning Engineer
S1674,Postgraduate,Computer Science,8.6,machinelearning deeplearning python ai,Development,Machine Learning Engineer
S1675,Undergraduate,Data Science,6.6,python modeltraining deeplearning neuralnetworks ai,AI,Machine Learning Engineer
S1676,Undergraduate,Mathematics,6.8,machinelearning pytorch python modeltraining,Writing,Machine Learning Engineer
S1677,Undergraduate,Data Science,7.7,python ai modeltraining tensorflow,Development,Machine Learning Engineer
S1678,Undergraduate,Statistics,7.1,deeplearning pytorch tensorflow modeltraining neuralnetworks ai,AI,Machine Learning Engineer
S1679,Undergraduate,Data Science,7.0,ai modeltraining machinelearning tensorflow python neuralnetworks,AI,Machine Learning Engineer
S1680,Undergraduate,Mechanical Engineering,6.9,deeplearning machinelearning ai python neuralnetworks,Finance,Machine Learning Engineer
S1681,Undergraduate,Computer Science,9.0,python deeplearning tensorflow neuralnetworks,Development,Machine Learning Engineer
S1682,Postgraduate,Data Science,8.3,machinelearning tensorflow ai modeltraining pytorch deeplearning python,Development,Machine Learning Engineer
S1683,Postgraduate,Data Science,7.6,pytorch ai python,Development,Machine Learning Engineer
S1684,Postgraduate,Data Science,7.9,pytorch deeplearning ai modeltraining tensorflow machinelearning neuralnetworks,Development,Machine Learning Engineer
S1685,Postgraduate,Computer Science,8.1,modeltraining ai neuralnetworks,Development,Machine Learning Engineer
S1686,Undergraduate,Mathematics,7.8,deeplearning tensorflow neuralnetworks pytorch python machinelearning ai,AI,Machine Learning Engineer
S1687,Undergraduate,Finance,9.0,python tensorflow machinelearning pytorch neuralnetworks modeltraining,Security,Machine Learning Engineer
S1688,Undergraduate,Computer Science,6.9,pytorch tensorflow python deeplearning ai machinelearning modeltraining neuralnetworks,Development,Machine Learning Engineer
S1689,Undergraduate,Computer Science,9.4,neuralnetworks ai deeplearning,Development,Machine Learning Engineer
S1690,Undergraduate,Computer Science,6.5,pytorch python ai deeplearning modeltraining neuralnetworks machinelearning,Data,Machine Learning Engineer
S1691,Undergraduate,Data Science,8.7,python ai pytorch,Security,Machine Learning Engineer
S1692,Undergraduate,Data Science,8.3,ai tensorflow deeplearning python neuralnetworks,Data,Machine Learning Engineer
S1693,Postgraduate,Mathematics,8.5,tensorflow neuralnetworks deeplearning modeltraining machinelearning python ai,Development,Machine Learning Engineer
S1694,Undergraduate,Data Science,8.8,pytorch python machinelearning tensorflow deeplearning modeltraining ai neuralnetworks,Development,Machine Learning Engineer
S1695,Postgraduate,Data Science,8.4,python ai deeplearning machinelearning,AI,Machine Learning Engineer
S1696,Postgraduate,Law,8.1,ai machinelearning modeltraining,Cloud,Machine Learning Engineer
S1697,Undergraduate,Mathematics,7.0,modeltraining python machinelearning,Development,Machine Learning Engineer
S1698,Postgraduate,Psychology,8.7,modeltraining machinelearning deeplearning tensorflow neuralnetworks pytorch python,Design,Machine Learning Engineer
S1699,Postgraduate,Data Science,9.4,machinelearning pytorch deeplearning ai modeltraining neuralnetworks tensorflow python,Development,Machine Learning Engineer
S1700,Postgraduate,Data Science,7.5,ai modeltraining pytorch deeplearning tensorflow,AI,Machine Learning Engineer
S1701,Postgraduate,Computer Science,7.6,tensorflow neuralnetworks deeplearning python modeltraining,AI,Machine Learning Engineer
S1702,Postgraduate,Data Science,8.8,machinelearning modeltraining deeplearning neuralnetworks pytorch ai python,Development,Machine Learning Engineer
S1703,Undergraduate,Information Technology,7.1,neuralnetworks deeplearning python,AI,Machine Learning Engineer
S1704,Undergraduate,Computer Science,6.7,ai python deeplearning pytorch machinelearning tensorflow,AI,Machine Learning Engineer
S1705,Undergraduate,Data Science,7.6,neuralnetworks tensorflow ai python deeplearning,AI,Machine Learning Engineer
S1706,Postgraduate,Commerce,7.1,tensorflow modeltraining neuralnetworks,AI,Machine Learning Engineer
S1707,Undergraduate,Computer Science,6.5,neuralnetworks ai tensorflow machinelearning,Development,Machine Learning Engineer
S1708,Undergraduate,Data Science,7.6,tensorflow neuralnetworks pytorch ai deeplearning machinelearning,AI,Machine Learning Engineer
S1709,Undergraduate,Computer Science,8.5,deeplearning pytorch machinelearning ai python,AI,Machine Learning Engineer
S1710,Undergraduate,Computer Science,6.6,machinelearning python neuralnetworks ai modeltraining pytorch deeplearning tensorflow,Development,Machine Learning Engineer
S1711,Undergraduate,Mathematics,8.8,neuralnetworks python ai deeplearning modeltraining pytorch,Security,Machine Learning Engineer
S1712,Undergraduate,Computer Science,8.7,pytorch neuralnetworks ai machinelearning tensorflow python modeltraining deeplearning,AI,Machine Learning Engineer
S1713,Undergraduate,Computer Science,7.2,neuralnetworks tensorflow pytorch machinelearning python modeltraining,Development,Machine Learning Engineer
S1714,Postgraduate,Computer Science,9.5,tensorflow modeltraining machinelearning ai neuralnetworks,Development,Machine Learning Engineer
S1715,Undergraduate,Information Technology,8.7,machinelearning python ai neuralnetworks tensorflow deeplearning,Development,Machine Learning Engineer
S1716,Undergraduate,Data Science,6.6,pytorch machinelearning ai modeltraining tensorflow deeplearning python,AI,Machine Learning Engineer
S1717,Postgraduate,Mechanical Engineering,8.9,deeplearning modeltraining neuralnetworks ai python machinelearning pytorch,Development,Machine Learning Engineer
S1718,Postgraduate,Mathematics,8.6,machinelearning deeplearning ai tensorflow pytorch python modeltraining,AI,Machine Learning Engineer
S1719,Postgraduate,Mathematics,6.8,ai python neuralnetworks deeplearning machinelearning,Development,Machine Learning Engineer
S1720,Postgraduate,Mathematics,7.3,machinelearning pytorch deeplearning modeltraining neuralnetworks ai,AI,Machine Learning Engineer
S1721,Postgraduate,Finance,8.8,pytorch neuralnetworks tensorflow python modeltraining deeplearning machinelearning,Research,Machine Learning Engineer
S1722,Postgraduate,Psychology,7.9,modeltraining neuralnetworks deeplearning ai,AI,Machine Learning Engineer
S1723,Postgraduate,Law,8.1,neuralnetworks tensorflow modeltraining python deeplearning ai pytorch machinelearning,Development,Machine Learning Engineer
S1724,Undergraduate,Computer Science,8.0,modeltraining ai python pytorch,Development,Machine Learning Engineer
S1725,Postgraduate,Data Science,8.3,modeltraining pytorch machinelearning neuralnetworks python ai deeplearning tensorflow,Cloud,Machine Learning Engineer
S1726,Undergraduate,Data Science,7.2,machinelearning deeplearning pytorch tensorflow ai neuralnetworks,Development,Machine Learning Engineer
S1727,Postgraduate,Computer Science,7.8,pytorch machinelearning neuralnetworks python ai deeplearning modeltraining tensorflow,Security,Machine Learning Engineer
S1728,Undergraduate,Data Science,9.3,python neuralnetworks pytorch machinelearning tensorflow modeltraining deeplearning,AI,Machine Learning Engineer
S1729,Undergraduate,Computer Science,8.3,ai modeltraining tensorflow deeplearning machinelearning pytorch neuralnetworks python,Cloud,Machine Learning Engineer
S1730,Postgraduate,Computer Science,9.2,neuralnetworks modeltraining ai machinelearning deeplearning,Development,Machine Learning Engineer
S1731,Undergraduate,Mathematics,7.7,modeltraining tensorflow deeplearning ai python neuralnetworks machinelearning,Development,Machine Learning Engineer
S1732,Postgraduate,Arts,8.4,modeltraining ai machinelearning tensorflow python,AI,Machine Learning Engineer
S1733,Undergraduate,Arts,7.9,machinelearning pytorch deeplearning python neuralnetworks,Cloud,Machine Learning Engineer
S1734,Undergraduate,Data Science,7.3,pytorch tensorflow deeplearning machinelearning ai neuralnetworks modeltraining,AI,Machine Learning Engineer
S1735,Undergraduate,Finance,6.9,ai neuralnetworks pytorch deeplearning python machinelearning tensorflow,Finance,Machine Learning Engineer
S1736,Postgraduate,Mathematics,8.1,python pytorch ai tensorflow modeltraining,Development,Machine Learning Engineer
S1737,Postgraduate,Mathematics,9.3,tensorflow python modeltraining machinelearning deeplearning,Design,Machine Learning Engineer
S1738,Postgraduate,Commerce,9.2,machinelearning neuralnetworks tensorflow ai modeltraining deeplearning pytorch python,AI,Machine Learning Engineer
S1739,Undergraduate,Computer Science,8.5,modeltraining deeplearning ai,Data,Machine Learning Engineer
S1740,Undergraduate,Data Science,8.9,machinelearning python neuralnetworks tensorflow pytorch ai,Development,Machine Learning Engineer
S1741,Postgraduate,Data Science,7.4,ai pytorch neuralnetworks tensorflow python machinelearning modeltraining deeplearning,AI,Machine Learning Engineer
S1742,Undergraduate,Commerce,9.0,neuralnetworks python machinelearning pytorch tensorflow ai deeplearning,Data,Machine Learning Engineer
S1743,Postgraduate,Mathematics,7.0,neuralnetworks deeplearning machinelearning modeltraining tensorflow pytorch,Development,Machine Learning Engineer
S1744,Postgraduate,Data Science,9.0,ai neuralnetworks modeltraining deeplearning python pytorch machinelearning tensorflow,Development,Machine Learning Engineer
S1745,Postgraduate,Computer Science,7.5,modeltraining python ai,Finance,Machine Learning Engineer
S1746,Postgraduate,Data Science,7.9,modeltraining neuralnetworks pytorch python machinelearning tensorflow,AI,Machine Learning Engineer
S1747,Undergraduate,Mathematics,6.6,neuralnetworks ai python pytorch machinelearning deeplearning modeltraining tensorflow,AI,Machine Learning Engineer
S1748,Undergraduate,Mathematics,8.6,tensorflow modeltraining deeplearning pytorch,Design,Machine Learning Engineer
S1749,Undergraduate,Computer Science,8.9,modeltraining ai pytorch tensorflow machinelearning neuralnetworks deeplearning python,Finance,Machine Learning Engineer
S1750,Undergraduate,Computer Science,7.3,pytorch python deeplearning tensorflow machinelearning,Development,Machine Learning Engineer
S1751,Undergraduate,Mechanical Engineering,8.3,machinelearning ai modeltraining python neuralnetworks pytorch deeplearning,Development,Machine Learning Engineer
S1752,Undergraduate,Data Science,8.8,deeplearning tensorflow pytorch,Data,Machine Learning Engineer
S1753,Undergraduate,Data Science,9.2,pytorch python deeplearning machinelearning,Writing,Machine Learning Engineer
S1754,Postgraduate,Mathematics,8.4,tensorflow modeltraining python,Data,Machine Learning Engineer
S1755,Undergraduate,Computer Science,6.5,neuralnetworks machinelearning python pytorch,AI,Machine Learning Engineer
S1756,Postgraduate,Mathematics,7.7,modeltraining tensorflow machinelearning neuralnetworks pytorch,Research,Machine Learning Engineer
S1757,Undergraduate,Psychology,7.8,deeplearning neuralnetworks pytorch python ai modeltraining,Development,Machine Learning Engineer
S1758,Undergraduate,Data Science,7.1,deeplearning python machinelearning modeltraining tensorflow,Cloud,Machine Learning Engineer
S1759,Postgraduate,Data Science,9.4,tensorflow modeltraining pytorch neuralnetworks deeplearning machinelearning,Development,Machine Learning Engineer
S1760,Postgraduate,Mathematics,6.7,modeltraining python pytorch tensorflow machinelearning ai neuralnetworks deeplearning,Finance,Machine Learning Engineer
S1761,Undergraduate,Mathematics,7.5,python neuralnetworks deeplearning pytorch machinelearning ai,Development,Machine Learning Engineer
S1762,Postgraduate,Mathematics,8.4,machinelearning deeplearning ai,Development,Machine Learning Engineer
S1763,Postgraduate,Data Science,7.3,neuralnetworks machinelearning python,AI,Machine Learning Engineer
S1764,Undergraduate,Data Science,9.0,pytorch machinelearning tensorflow modeltraining python,Development,Machine Learning Engineer
S1765,Undergraduate,Data Science,7.3,python modeltraining machinelearning neuralnetworks ai tensorflow deeplearning,AI,Machine Learning Engineer
S1766,Postgraduate,Data Science,8.7,modeltraining deeplearning pytorch neuralnetworks python ai tensorflow,Data,Machine Learning Engineer
S1767,Postgraduate,Computer Science,8.0,machinelearning ai deeplearning pytorch,AI,Machine Learning Engineer
S1768,Undergraduate,Computer Science,9.5,machinelearning modeltraining pytorch ai neuralnetworks tensorflow python,AI,Machine Learning Engineer
S1769,Undergraduate,Statistics,9.0,pytorch ai modeltraining,Development,Machine Learning Engineer
S1770,Postgraduate,Computer Science,9.4,python neuralnetworks ai,Research,Machine Learning Engineer
S1771,Postgraduate,Data Science,8.2,ai python machinelearning deeplearning neuralnetworks modeltraining,AI,Machine Learning Engineer
S1772,Postgraduate,Data Science,9.3,modeltraining machinelearning pytorch neuralnetworks ai tensorflow python deeplearning,Development,Machine Learning Engineer
S1773,Undergraduate,Finance,7.2,ai deeplearning modeltraining pytorch,AI,Machine Learning Engineer
S1774,Postgraduate,Mechanical Engineering,7.5,pytorch python machinelearning tensorflow ai deeplearning neuralnetworks modeltraining,Writing,Machine Learning Engineer
S1775,Undergraduate,Mathematics,9.1,tensorflow neuralnetworks python deeplearning,Development,Machine Learning Engineer
S1776,Postgraduate,Statistics,6.6,modeltraining ai tensorflow pytorch,AI,Machine Learning Engineer
S1777,Postgraduate,Data Science,9.4,ai neuralnetworks pytorch tensorflow modeltraining machinelearning deeplearning,AI,Machine Learning Engineer
S1778,Postgraduate,Commerce,7.3,python ai modeltraining deeplearning,AI,Machine Learning Engineer
S1779,Postgraduate,Computer Science,7.3,python modeltraining tensorflow machinelearning ai,Development,Machine Learning Engineer
S1780,Postgraduate,Computer Science,6.6,machinelearning python pytorch modeltraining tensorflow neuralnetworks,Research,Machine Learning Engineer
S1781,Undergraduate,Mathematics,6.6,deeplearning ai machinelearning modeltraining pytorch tensorflow,Development,Machine Learning Engineer
S1782,Postgraduate,Computer Science,9.0,ai deeplearning machinelearning pytorch tensorflow neuralnetworks,Development,Machine Learning Engineer
S1783,Undergraduate,Mathematics,9.2,pytorch neuralnetworks python ai machinelearning tensorflow,Development,Machine Learning Engineer
S1784,Undergraduate,Computer Science,9.4,ai machinelearning python pytorch neuralnetworks,AI,Machine Learning Engineer
S1785,Undergraduate,Computer Science,9.3,ai python neuralnetworks pytorch deeplearning tensorflow,AI,Machine Learning Engineer
S1786,Postgraduate,Mathematics,6.5,neuralnetworks modeltraining ai tensorflow machinelearning deeplearning pytorch python,AI,Machine Learning Engineer
S1787,Undergraduate,Mathematics,8.7,modeltraining machinelearning tensorflow deeplearning python ai pytorch neuralnetworks,AI,Machine Learning Engineer
S1788,Postgraduate,Data Science,8.1,deeplearning neuralnetworks machinelearning python ai pytorch,Development,Machine Learning Engineer
S1789,Postgraduate,Mathematics,8.4,machinelearning neuralnetworks pytorch deeplearning modeltraining python,Development,Machine Learning Engineer
S1790,Undergraduate,Data Science,7.7,tensorflow deeplearning modeltraining pytorch ai machinelearning neuralnetworks python,AI,Machine Learning Engineer
S1791,Postgraduate,Computer Science,9.3,deeplearning ai tensorflow machinelearning python pytorch modeltraining,AI,Machine Learning Engineer
S1792,Undergraduate,Data Science,8.9,deeplearning python pytorch modeltraining neuralnetworks ai tensorflow,AI,Machine Learning Engineer
S1793,Postgraduate,Computer Science,8.2,modeltraining python tensorflow neuralnetworks deeplearning pytorch machinelearning ai,Research,Machine Learning Engineer
S1794,Undergraduate,Mathematics,9.3,pytorch deeplearning ai machinelearning neuralnetworks python modeltraining tensorflow,AI,Machine Learning Engineer
S1795,Undergraduate,Computer Science,7.2,python tensorflow pytorch,Development,Machine Learning Engineer
S1796,Postgraduate,Mathematics,7.8,neuralnetworks modeltraining deeplearning python machinelearning pytorch,AI,Machine Learning Engineer
S1797,Postgraduate,Mathematics,8.9,python machinelearning pytorch neuralnetworks,Development,Machine Learning Engineer
S1798,Undergraduate,Data Science,8.9,deeplearning modeltraining python machinelearning neuralnetworks tensorflow pytorch,Development,Machine Learning Engineer
S1799,Undergraduate,Computer Science,7.7,ai tensorflow pytorch python modeltraining neuralnetworks deeplearning machinelearning,AI,Machine Learning Engineer
S1800,Postgraduate,Data Science,9.4,neuralnetworks pytorch python,Development,Machine Learning Engineer
S1801,Postgraduate,Commerce,7.5,ai python modeltraining pytorch deeplearning machinelearning,AI,Machine Learning Engineer
S1802,Postgraduate,Data Science,9.3,deeplearning machinelearning neuralnetworks,Finance,Machine Learning Engineer
S1803,Undergraduate,Computer Science,7.4,deeplearning tensorflow ai machinelearning neuralnetworks pytorch python,AI,Machine Learning Engineer
S1804,Postgraduate,Mathematics,8.8,machinelearning neuralnetworks tensorflow deeplearning python pytorch modeltraining,AI,Machine Learning Engineer
S1805,Postgraduate,Data Science,6.9,pytorch machinelearning ai,AI,Machine Learning Engineer
S1806,Postgraduate,Computer Science,6.5,deeplearning machinelearning pytorch modeltraining python,Development,Machine Learning Engineer
S1807,Undergraduate,Data Science,7.3,machinelearning tensorflow python neuralnetworks deeplearning ai modeltraining pytorch,AI,Machine Learning Engineer
S1808,Postgraduate,Mathematics,9.4,python neuralnetworks pytorch ai tensorflow machinelearning modeltraining,AI,Machine Learning Engineer
S1809,Postgraduate,Computer Science,8.5,python deeplearning tensorflow modeltraining ai,Development,Machine Learning Engineer
